SKU,Name,Profit ($),Profit (%),Retail Price ($),Resale Price ($),Year,Nike Link,Goat Link
FZ3190-400,Paris Saint-Germain x Offcourt Slide 'Midnight Navy University Red',79.46,198.65,40,132,2024,https://www.nike.com/t/offcourt-paris-saint-germain-soccer-slides-xWZKGQ/FZ3190-400,https://www.goat.com/search?query=FZ3190-400
FZ3190-400,Paris Saint-Germain x Offcourt Slide 'Midnight Navy University Red',79.46,198.65,40,132,2024,https://www.nike.com/t/offcourt-paris-saint-germain-soccer-slides-xWZKGQ/FZ3190-400,https://www.goat.com/search?query=FZ3190-400
HF4826-100,Jordan True Flight 'Chlorophyll',78.97,52.65,150,253,2024,https://www.nike.com/t/jordan-true-flight-mens-shoes-w0Zl7P/HF4826-100,https://www.goat.com/search?query=HF4826-100
DX2117-001,SFB B1 'Triple Black',77.56,71.83,107.97,205,2022,https://www.nike.com/t/sfb-b1-tactical-boots-LkJcvt/DX2117-001,https://www.goat.com/search?query=DX2117-001
HM0265-103,Premier 3 Low FG 'White Signal Blue',77.29,64.41,120,218,2024,https://www.nike.com/t/premier-3-fg-low-top-soccer-cleats-4zkH4m/HM0265-103,https://www.goat.com/search?query=HM0265-103
FJ2561-300,Phantom Luna 2 Academy LV8 MG 'Vortex Pack',76.64,109.53,69.97,162,2024,https://www.nike.com/t/phantom-luna-2-academy-lv8-mg-high-top-soccer-cleats-Nht4ZV/FJ2561-300,https://www.goat.com/search?query=FJ2561-300
DV3949-401,Free Metcon 5 'Court Blue',76.22,90.77,83.97,177,2021,https://www.nike.com/t/free-metcon-5-mens-workout-shoes-H0Qszz/DV3949-401,https://www.goat.com/search?query=DV3949-401
HJ9019-100,Jordan Spizike Low 'White Black Metallic Gold',75.3,47.06,160,260,2024,https://www.nike.com/t/jordan-spizike-low-mens-shoes-FnFX3d/HJ9019-100,https://www.goat.com/search?query=HJ9019-100
DZ3306-104,Air Huarache Runner 'Coconut Milk Sesame',74.49,53.21,140,237,2024,https://www.nike.com/t/air-huarache-runner-mens-shoes-hkFLHQ/DZ3306-104,https://www.goat.com/search?query=DZ3306-104
DV0831-005,Dunk Low 'Black Sesame',74.15,64.48,115,209,2024,https://www.nike.com/t/dunk-low-retro-mens-shoes-76KnBL/DV0831-005,https://www.goat.com/search?query=DV0831-005
FN0228-400,Journey Run 'Astronomy Blue Hyper Crimson',73.81,82.01,90,181,2024,https://www.nike.com/t/journey-run-mens-road-running-shoes-J7Vp29/FN0228-400,https://www.goat.com/search?query=FN0228-400
FB2907-400,Force Zoom Trout 9 Pro 'Midnight Navy',72.9,81.0,90,180,2023,https://www.nike.com/t/force-zoom-trout-9-pro-baseball-cleats-7t3QD9/FB2907-400,https://www.goat.com/search?query=FB2907-400
FZ3183-400,OffCourt Slide 'FC Barcelona',72.22,180.55,40,124,2024,https://www.nike.com/t/offcourt-england-soccer-slides-3B0x22/FZ3183-400,https://www.goat.com/search?query=FZ3183-400
FZ3185-400,OffCourt Slide 'FC Barcelona',72.22,180.55,40,124,2024,https://www.nike.com/t/offcourt-fc-barcelona-soccer-slides-Dzt9LS/FZ3185-400,https://www.goat.com/search?query=FZ3185-400
FZ3187-400,OffCourt Slide 'FC Barcelona',72.22,180.55,40,124,2024,https://www.nike.com/t/offcourt-pumas-unam-soccer-slides-mF5bcd/FZ3187-400,https://www.goat.com/search?query=FZ3187-400
FZ3185-400,OffCourt Slide 'FC Barcelona',72.22,180.55,40,124,2024,https://www.nike.com/t/offcourt-fc-barcelona-soccer-slides-Dzt9LS/FZ3185-400,https://www.goat.com/search?query=FZ3185-400
FZ3187-400,OffCourt Slide 'FC Barcelona',72.22,180.55,40,124,2024,https://www.nike.com/t/offcourt-pumas-unam-soccer-slides-mF5bcd/FZ3187-400,https://www.goat.com/search?query=FZ3187-400
FQ4026-800,Vapor Edge Pro 360 2 'Laser Orange Black',71.3,49.17,145,239,2024,https://www.nike.com/t/vapor-edge-pro-360-2-mens-football-cleats-8qXpjr/FQ4026-800,https://www.goat.com/search?query=FQ4026-800
FJ2585-001,Phantom Luna 2 Pro FG 'Shadow Pack',70.62,74.34,95,183,2024,https://www.nike.com/t/phantom-luna-2-academy-ag-high-top-soccer-cleats-qrGnLq/FJ2585-001,https://www.goat.com/search?query=FJ2585-001
DD9465-040,Phantom GX Pro DF FG 'Shadow Pack',70.6,67.26,104.97,194,2023,https://www.nike.com/t/phantom-gx-pro-firm-ground-high-top-soccer-cleats-fDn8NS/DD9465-040,https://www.goat.com/search?query=DD9465-040
DD9465-040,Phantom GX Pro DF FG 'Shadow Pack',70.6,67.26,104.97,194,2023,https://www.nike.com/t/phantom-gx-pro-firm-ground-high-top-soccer-cleats-fDn8NS/DD9465-040,https://www.goat.com/search?query=DD9465-040
FQ8726-259,Woodside 2 'Cacao Wow',69.15,57.63,120,209,2023,https://www.nike.com/t/woodside-2-mens-boots-RmRXZm/FQ8726-259,https://www.goat.com/search?query=FQ8726-259
DV9367-100,Zoom Vapor Tour AJ3 'Racer Blue',68.84,60.4,113.97,202,2023,https://www.nike.com/t/nikecourt-air-zoom-vapor-aj3-mens-hard-court-tennis-shoes-ZD64vj/DV9367-100,https://www.goat.com/search?query=DV9367-100
DV9367-100,Zoom Vapor Tour AJ3 'Racer Blue',68.84,60.4,113.97,202,2023,https://www.nike.com/t/nikecourt-air-zoom-vapor-aj3-mens-hard-court-tennis-shoes-ZD64vj/DV9367-100,https://www.goat.com/search?query=DV9367-100
FJ9509-002,Air Winflo 11 'Black Anthracite',68.76,65.49,105,192,2024,https://www.nike.com/t/wio-11-mens-road-running-shoes-sZJDFJ/FJ9509-002,https://www.goat.com/search?query=FJ9509-002
DA0701-600,React Vapor Ultrafly Elite 4 'University Red Bright Crimson',68.41,76.04,89.97,175,2022,https://www.nike.com/t/react-vapor-ultrafly-elite-4-mens-baseball-cleat-rBjGdm/DA0701-600,https://www.goat.com/search?query=DA0701-600
FJ3694-102,Blazer Low Pro Club 'University Gold',68.33,68.33,100,186,2024,https://www.nike.com/t/blazer-low-pro-club-mens-shoes-dHCvK6/FJ3694-102,https://www.goat.com/search?query=FJ3694-102
FJ3694-102,Blazer Low Pro Club 'University Gold',68.33,68.33,100,186,2024,https://www.nike.com/t/blazer-low-pro-club-mens-shoes-dHCvK6/FJ3694-102,https://www.goat.com/search?query=FJ3694-102
FN6920-002,Air Max Pulse Roam 'Light Bone Desert Khaki',68.02,40.01,170,263,2024,https://www.nike.com/t/air-max-pulse-roam-mens-shoes-rg7NCQ/FN6920-002,https://www.goat.com/search?query=FN6920-002
FN6920-002,Air Max Pulse Roam 'Light Bone Desert Khaki',68.02,40.01,170,263,2024,https://www.nike.com/t/air-max-pulse-roam-mens-shoes-rg7NCQ/FN6920-002,https://www.goat.com/search?query=FN6920-002
DX9025-105,Air Zoom Victory Tour 3 Wide 'White Barely Volt Grey',67.02,35.27,190,284,2024,https://www.nike.com/t/air-zoom-victory-tour-3-golf-shoes-wide-rdT0fL/DX9025-105,https://www.goat.com/search?query=DX9025-105
