SKU,Name,Profit ($),Profit (%),Retail Price ($),Resale Price ($),Year,Nike Link,Goat Link
DM1124-302,Air Max Impact 4 'Dusty Cactus University Gold',63.5,85.0,74.97,153,2024,https://www.nike.com/t/impact-4-basketball-shoes-nmn08j/DM1124-302,https://www.goat.com/search?query=DM1124-302
FN2686-001,NFL x Offcourt Slide 'Cincinnati Bengals',62.27,156.0,40,113,2024,https://www.nike.com/t/offcourt-cincinnati-bengals-offcourt-slides-xbvQ0n/FN2686-001,https://www.goat.com/search?query=FN2686-001
FN2642-001,College Offcourt Slide 'Alabama 2024',61.36,153.0,40,112,,https://www.nike.com/t/offcourt-alabama-slides-FXVF46/FN2642-001,https://www.goat.com/search?query=FN2642-001
CK0746-403,Alpha Huarache Elite 3 Low 'College Navy',60.92,95.0,63.97,138,,https://www.nike.com/t/alpha-huarache-elite-3-low-baseball-cleat-BwGDTD/CK0746-403,https://www.goat.com/search?query=CK0746-403
CK0746-403,Alpha Huarache Elite 3 Low 'College Navy',60.92,95.0,63.97,138,,https://www.nike.com/t/alpha-huarache-elite-3-low-baseball-cleat-BwGDTD/CK0746-403,https://www.goat.com/search?query=CK0746-403
FN4304-001,College Offcourt Slide 'Ohio State',60.45,151.0,40,111,,https://www.nike.com/t/offcourt-ohio-state-slides-L9pm2h/FN4304-001,https://www.goat.com/search?query=FN4304-001
FN4304-001,College Offcourt Slide 'Ohio State',60.45,151.0,40,111,,https://www.nike.com/t/offcourt-ohio-state-slides-L9pm2h/FN4304-001,https://www.goat.com/search?query=FN4304-001
FN4138-600,College Offcourt Slide 'Florida State',55.03,138.0,40,105,,https://www.nike.com/t/offcourt-florida-state-slides-6wGgJP/FN4138-600,https://www.goat.com/search?query=FN4138-600
FN4139-600,College Offcourt Slide 'Georgia 2024',55.03,138.0,40,105,,https://www.nike.com/t/offcourt-georgia-slides-MXmxs5/FN4139-600,https://www.goat.com/search?query=FN4139-600
FN4138-600,College Offcourt Slide 'Florida State',55.03,138.0,40,105,,https://www.nike.com/t/offcourt-florida-state-slides-6wGgJP/FN4138-600,https://www.goat.com/search?query=FN4138-600
FN4139-600,College Offcourt Slide 'Georgia 2024',55.03,138.0,40,105,,https://www.nike.com/t/offcourt-georgia-slides-MXmxs5/FN4139-600,https://www.goat.com/search?query=FN4139-600
FN4297-700,College Offcourt Slide 'Michigan',55.03,138.0,40,105,,https://www.nike.com/t/offcourt-michigan-slides-C0Sllb/FN4297-700,https://www.goat.com/search?query=FN4297-700
FN4297-700,College Offcourt Slide 'Michigan',55.03,138.0,40,105,,https://www.nike.com/t/offcourt-michigan-slides-C0Sllb/FN4297-700,https://www.goat.com/search?query=FN4297-700
DD0527-002,NFL x Offcourt Slide 'Jacksonville Jaguars',50.5,126.0,40,100,2023,https://www.nike.com/t/offcourt-jacksonville-jaguars-slide-TL7TW3/DD0527-002,https://www.goat.com/search?query=DD0527-002
DD0527-002,NFL x Offcourt Slide 'Jacksonville Jaguars',50.5,126.0,40,100,2023,https://www.nike.com/t/offcourt-jacksonville-jaguars-slide-TL7TW3/DD0527-002,https://www.goat.com/search?query=DD0527-002
DD0544-002,NFL x Offcourt Slide 'New Orleans Saints',49.77,172.0,28.97,87,2023,https://www.nike.com/t/offcourt-new-orleans-saints-slide-mZpSLW/DD0544-002,https://www.goat.com/search?query=DD0544-002
DD0544-002,NFL x Offcourt Slide 'New Orleans Saints',49.77,172.0,28.97,87,2023,https://www.nike.com/t/offcourt-new-orleans-saints-slide-mZpSLW/DD0544-002,https://www.goat.com/search?query=DD0544-002
DD0520-002,NFL x Offcourt Slide 'Miami Dolphins 2023',49.59,124.0,40,99,2023,https://www.nike.com/t/offcourt-miami-dolphins-slide-6zpB3R/DD0520-002,https://www.goat.com/search?query=DD0520-002
DV7775-300,Tanjun EasyOn 'Oil Green',49.46,71.0,70,132,2024,https://www.nike.com/t/tanjun-easyon-mens-shoes-xPNgsR/DV7775-300,https://www.goat.com/search?query=DV7775-300
FJ2552-001,Phantom GX 2 Academy AG 'Shadow Pack',49.37,55.0,90,154,2024,https://www.nike.com/t/phantom-gx-2-academy-ag-low-top-soccer-cleats-x7RgsZ/FJ2552-001,https://www.goat.com/search?query=FJ2552-001
325256-100,Inflict 3 'White Metallic Gold',49.28,45.0,110,176,2023,https://www.nike.com/t/iict-wrestling-shoes-ZwzKgK/325256-100,https://www.goat.com/search?query=325256-100
325256-100,Inflict 3 'White Metallic Gold',49.28,45.0,110,176,2023,https://www.nike.com/t/iict-wrestling-shoes-ZwzKgK/325256-100,https://www.goat.com/search?query=325256-100
FN4483-600,College Offcourt Slide 'USC',48.69,122.0,40,98,,https://www.nike.com/t/offcourt-usc-slides-LR4KGm/FN4483-600,https://www.goat.com/search?query=FN4483-600
FN4483-600,College Offcourt Slide 'USC',48.69,122.0,40,98,,https://www.nike.com/t/offcourt-usc-slides-LR4KGm/FN4483-600,https://www.goat.com/search?query=FN4483-600
FN4470-001,NFL x Offcourt Slide 'Pittsburgh Steelers',48.69,122.0,40,98,2024,https://www.nike.com/t/offcourt-pittsburgh-steelers-offcourt-slides-rmC6pj/FN4470-001,https://www.goat.com/search?query=FN4470-001
FN4470-001,NFL x Offcourt Slide 'Pittsburgh Steelers',48.69,122.0,40,98,2024,https://www.nike.com/t/offcourt-pittsburgh-steelers-offcourt-slides-rmC6pj/FN4470-001,https://www.goat.com/search?query=FN4470-001
FN4310-700,College Offcourt Slide 'Oregon 2024',47.78,119.0,40,97,,https://www.nike.com/t/offcourt-oregon-slides-SNx0fJ/FN4310-700,https://www.goat.com/search?query=FN4310-700
FN4310-700,College Offcourt Slide 'Oregon 2024',47.78,119.0,40,97,,https://www.nike.com/t/offcourt-oregon-slides-SNx0fJ/FN4310-700,https://www.goat.com/search?query=FN4310-700
DD0554-002,NFL x Offcourt Slide 'Minnesota Vikings 2024',47.78,119.0,40,97,2024,https://www.nike.com/t/offcourt-minnesota-vikings-slide-Wj38Tc/DD0554-002,https://www.goat.com/search?query=DD0554-002
DD0554-002,NFL x Offcourt Slide 'Minnesota Vikings 2024',47.78,119.0,40,97,2024,https://www.nike.com/t/offcourt-minnesota-vikings-slide-Wj38Tc/DD0554-002,https://www.goat.com/search?query=DD0554-002
FN4481-700,College Offcourt Slide 'UCLA',46.88,117.0,40,96,,https://www.nike.com/t/offcourt-ucla-slides-QpJG0C/FN4481-700,https://www.goat.com/search?query=FN4481-700
FN4481-700,College Offcourt Slide 'UCLA',46.88,117.0,40,96,,https://www.nike.com/t/offcourt-ucla-slides-QpJG0C/FN4481-700,https://www.goat.com/search?query=FN4481-700
DD0540-002,NFL x Offcourt Slide 'Carolina Panthers' 2023,46.88,117.0,40,96,2023,https://www.nike.com/t/offcourt-carolina-panthers-slide-mGG6Sr/DD0540-002,https://www.goat.com/search?query=DD0540-002
DD0540-002,NFL x Offcourt Slide 'Carolina Panthers' 2023,46.88,117.0,40,96,2023,https://www.nike.com/t/offcourt-carolina-panthers-slide-mGG6Sr/DD0540-002,https://www.goat.com/search?query=DD0540-002
DJ7883-104,Air Zoom Structure 25 'White Star Blue',46.83,48.0,97.97,160,2023,https://www.nike.com/t/structure-25-mens-road-running-shoes-9sxxpN/DJ7883-104,https://www.goat.com/search?query=DJ7883-104
FD0731-600,Zoom Blazer Mid SB 'Burgundy Crush',45.75,51.0,90,150,,https://www.nike.com/t/sb-zoom-blazer-mid-skate-shoes-SS5p2B/FD0731-600,https://www.goat.com/search?query=FD0731-600
FD0731-600,Zoom Blazer Mid SB 'Burgundy Crush',45.75,51.0,90,150,,https://www.nike.com/t/sb-zoom-blazer-mid-skate-shoes-SS5p2B/FD0731-600,https://www.goat.com/search?query=FD0731-600
FD6723-600,Phantom GX 2 Academy MG GS 'Mad Brilliance Pack',45.2,59.0,76.97,135,2024,https://www.nike.com/t/phantom-gx-2-academy-mg-low-top-soccer-cleats-hMcXSW/FD6723-600,https://www.goat.com/search?query=FD6723-600
FQ4536-600,Alpha Menace 4 Shark 'Picante Red Black',43.17,72.0,60,114,2024,https://www.nike.com/t/alpha-menace-4-shark-nrg-football-cleats-2vvWtd/FQ4536-600,https://www.goat.com/search?query=FQ4536-600
